Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_[3, 6, 9, 12];0.529737609329446;0.45425;0.48909825033647375;0.573850987654321;0.5284472049689442;3.3426976203918457
SVDD_Linear_auto_[3, 6, 9, 12];0.529737609329446;0.45425;0.48909825033647375;0.573850987654321;0.5284472049689442;3.3417954444885254
SVDD_Sigmoid_scale_[3, 6, 9, 12];0.5244252873563219;0.45625;0.48796791443850274;0.575372037037037;0.5242236024844721;4.203403472900391
SVDD_Sigmoid_auto_[3, 6, 9, 12];0.5203017528289328;0.58625;0.5513106853179734;0.509770925925926;0.5258385093167702;4.233076095581055
SVDD_Poly_2_scale_[3, 6, 9, 12];0.5522991409802931;0.5465;0.5493842674038704;0.5909185802469136;0.5545341614906832;3.433076858520508
SVDD_Poly_2_auto_[3, 6, 9, 12];0.5522991409802931;0.5465;0.5493842674038704;0.5909185802469136;0.5545341614906832;3.436251640319824
SVDD_Poly_3_scale_[3, 6, 9, 12];0.5308335915711186;0.42825;0.47405562474055624;0.5853185185185186;0.5278260869565218;3.4816603660583496
SVDD_Poly_3_auto_[3, 6, 9, 12];0.5308335915711186;0.42825;0.47405562474055624;0.5853185185185186;0.5278260869565218;3.433638572692871
SVDD_Poly_4_scale_[3, 6, 9, 12];0.5514256619144603;0.5415;0.546417759838547;0.5771637654320988;0.5532919254658385;3.4739315509796143
SVDD_Poly_4_auto_[3, 6, 9, 12];0.5523373983739838;0.5435;0.547883064516129;0.5771669753086419;0.5542857142857143;3.4777703285217285
SVDD_RBF_0.001_scale_[3, 6, 9, 12];0.5020888720091151;0.9915;0.666610639549542;0.4748049999999999;0.5072049689440994;0.23352479934692383
SVDD_RBF_0.01_scale_[3, 6, 9, 12];0.5026629469946741;0.991;0.6670031970385327;0.4527987037037037;0.5083229813664596;0.33574414253234863
SVDD_RBF_0.05_scale_[3, 6, 9, 12];0.5121293800539084;0.95;0.6654991243432575;0.4961229012345679;0.5254658385093167;1.0736548900604248
SVDD_RBF_0.1_scale_[3, 6, 9, 12];0.5243391593239924;0.9075;0.6646525679758308;0.5327665432098765;0.5449689440993789;1.944899320602417
