Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_[3, 6, 9, 12]_5_[384, 128];0.5068681318681318;0.46125;0.4829842931937173;0.5151683333333333;0.5093167701863354;1.9289608001708984
SVDD_Linear_auto_[3, 6, 9, 12]_5_[384, 128];0.5068681318681318;0.46125;0.4829842931937173;0.5151683333333333;0.5093167701863354;1.9119653701782227
SVDD_Sigmoid_scale_[3, 6, 9, 12]_5_[384, 128];0.5023370910090734;0.45675;0.47846012832263973;0.519531913580247;0.5052173913043478;3.0381808280944824
SVDD_Sigmoid_auto_[3, 6, 9, 12]_5_[384, 128];0.5049223364690439;0.577;0.5385602613464007;0.5001153086419754;0.508695652173913;2.986635208129883
SVDD_Poly_2_scale_[3, 6, 9, 12]_5_[384, 128];0.4958467928011075;0.53725;0.5157187425005999;0.4949677160493827;0.4986335403726708;1.967771053314209
SVDD_Poly_2_auto_[3, 6, 9, 12]_5_[384, 128];0.4958467928011075;0.53725;0.5157187425005999;0.4949677160493827;0.4986335403726708;2.061305284500122
SVDD_Poly_3_scale_[3, 6, 9, 12]_5_[384, 128];0.5133565621370499;0.442;0.47501343363782916;0.5398986419753087;0.5145341614906832;2.017336130142212
SVDD_Poly_3_auto_[3, 6, 9, 12]_5_[384, 128];0.5133565621370499;0.442;0.47501343363782916;0.5398986419753087;0.5145341614906832;1.989248275756836
SVDD_Poly_4_scale_[3, 6, 9, 12]_5_[384, 128];0.49479287202036565;0.5345;0.5138805432039418;0.4820882098765432;0.49751552795031057;1.997645616531372
SVDD_Poly_4_auto_[3, 6, 9, 12]_5_[384, 128];0.49479287202036565;0.5345;0.5138805432039418;0.4820882098765432;0.49751552795031057;2.0444884300231934
SVDD_RBF_0.001_scale_[3, 6, 9, 12]_5_[384, 128];0.4986780813294725;0.99025;0.663317424432722;0.46481197530864193;0.5004968944099379;0.12250089645385742
SVDD_RBF_0.01_scale_[3, 6, 9, 12]_5_[384, 128];0.49614850359893925;0.98225;0.6592834969376625;0.4482480864197531;0.495527950310559;0.2094283103942871
SVDD_RBF_0.05_scale_[3, 6, 9, 12]_5_[384, 128];0.49809335963182116;0.947;0.6528220594571306;0.4231479629629629;0.4995031055900621;0.6402883529663086
SVDD_RBF_0.1_scale_[3, 6, 9, 12]_5_[384, 128];0.501661589587372;0.90575;0.6456959543753342;0.4616098148148148;0.5060869565217392;1.1927974224090576
SVDD_RBF_0.2_scale_[3, 6, 9, 12]_5_[384, 128];0.5040990194502492;0.784;0.6136385872223852;0.4919717901234568;0.5094409937888199;2.3181841373443604
SVDD_RBF_0.3_scale_[3, 6, 9, 12]_5_[384, 128];0.5176665439823335;0.70325;0.5963536145855417;0.5140945679012345;0.5269565217391304;4.310241222381592
SVDD_RBF_0.4_scale_[3, 6, 9, 12]_5_[384, 128];0.550561797752809;0.62475;0.5853144396299333;0.5407517283950618;0.5601242236024845;4.74187159538269
SVDD_RBF_0.5_scale_[3, 6, 9, 12]_5_[384, 128];0.5537212449255751;0.5115;0.5317738791423001;0.5521881481481482;0.5524223602484472;7.271164655685425
SVDD_RBF_0.6_scale_[3, 6, 9, 12]_5_[384, 128];0.5287356321839081;0.3795;0.4418570804831902;0.5575879012345679;0.5236024844720497;11.46916675567627
SVDD_RBF_0.7_scale_[3, 6, 9, 12]_5_[384, 128];0.49484004127966974;0.23975;0.323004378578646;0.5602367283950618;0.5006211180124224;13.992238998413086
SVDD_RBF_0.8_scale_[3, 6, 9, 12]_5_[384, 128];0.5055292259083728;0.16;0.24306874287884542;0.5552663580246914;0.5048447204968944;16.858959436416626
